Date,Open,High,Low,Close,Adj Close,Volume,change_tomorrow,change_tomorrow_direction
2007-01-03,3.0817859172821045,3.0921430587768555,2.924999952316284,2.992856979370117,2.527393579483032,1238319600,2.1713934437983307,UP
2007-01-04,3.00178599357605,3.069643020629883,2.9935710430145264,3.059286117553711,2.583491325378418,847260400,-0.7172416001697934,DOWN
2007-01-05,3.063214063644409,3.078571081161499,3.0142860412597656,3.0374999046325684,2.565093994140625,834741600,0.4914039265294323,UP
2007-01-08,3.069999933242798,3.0903570652008057,3.0457139015197754,3.052500009536743,2.5777618885040283,797106800,7.669860392551431,UP
2007-01-09,3.087500095367432,3.320713996887207,3.041070938110352,3.3060710430145264,2.7918946743011475,3349298400,4.567031759701068,UP
2007-01-10,3.3839290142059326,3.492856979370117,3.337500095367432,3.464286088943481,2.925503969192505,2952880000,-1.2526102725386679,DOWN
2007-01-11,3.426429033279419,3.456429004669189,3.3964290618896484,3.421428918838501,2.889312028884888,1440252800,-1.247093836050328,DOWN
2007-01-12,3.378213882446289,3.3949999809265137,3.32964301109314,3.379286050796509,2.8537230491638184,1312690400,2.554050993706114,UP
2007-01-16,3.4171431064605717,3.4732139110565186,3.4089291095733643,3.467856884002685,2.9285190105438232,1244076400,-2.264352501124378,DOWN
2007-01-17,3.484286069869995,3.4857139587402344,3.386429071426392,3.391071081161499,2.863675117492676,1646260000,-6.601551342530443,DOWN
2007-01-18,3.289285898208618,3.2896430492401123,3.180356979370117,3.1810710430145264,2.6863362789154053,2364605600,-0.6440675281238262,DOWN
2007-01-19,3.165357112884521,3.2017860412597656,3.1471428871154785,3.1607139110565186,2.669145107269287,1364473600,-1.9702565487089485,DOWN
2007-01-22,3.1835711002349854,3.184286117553711,3.058928966522217,3.0996429920196533,2.617572546005249,1454026000,-1.2718922942162258,DOWN
2007-01-23,3.061785936355591,3.125356912612915,3.053929090499878,3.06071400642395,2.5846974849700928,1207424400,1.1534287363140994,UP
2007-01-24,3.0957140922546387,3.112499952316284,3.074285984039306,3.0964291095733643,2.6148581504821777,927813600,-0.5217588235995274,DOWN
2007-01-25,3.1110711097717285,3.1607139110565186,3.072499990463257,3.080357074737549,2.601285457611084,905973600,-1.018965987449838,DOWN
2007-01-26,3.1110711097717285,3.120357036590576,3.0353569984436035,3.049285888671875,2.5750465393066406,986874000,0.651624470356571,UP
2007-01-29,3.082143068313598,3.0946431159973145,3.054642915725708,3.069286108016968,2.5919361114501958,901664400,-0.4558920198491023,DOWN
2007-01-30,3.0867860317230225,3.0889289379119877,3.044642925262451,3.055356979370117,2.5801734924316406,577970400,0.20997408437788412,UP
2007-01-31,3.03071403503418,3.0714290142059326,3.012500047683716,3.061785936355591,2.5856027603149414,856069200,-1.1682745297828312,DOWN
2007-02-01,3.07964301109314,3.081070899963379,3.0264289379119877,3.0264289379119877,2.555744171142578,664342000,0.011799678635959765,UP
2007-02-02,3.004286050796509,3.044642925262451,2.989285945892334,3.026786088943481,2.5560452938079834,621530000,-0.9649891314755799,DOWN
2007-02-05,3.010714054107666,3.043929100036621,2.997857093811035,2.997857093811035,2.5316169261932373,578852400,0.24955215554373078,UP
2007-02-06,3.016071081161499,3.0167860984802246,2.9592859745025635,3.005357027053833,2.537949323654175,864393600,2.321546355452342,UP
2007-02-07,3.01714301109314,3.0850000381469727,2.983928918838501,3.0767860412597656,2.598271131515503,1066825200,0.034796166658457306,UP
2007-02-08,3.0510709285736084,3.0896430015563965,3.0503571033477783,3.07785701751709,2.59917426109314,679030800,-3.4946393019091193,DOWN
2007-02-09,3.067142963409424,3.078571081161499,2.9717860221862797,2.973928928375244,2.5114095211029053,860540800,1.8967992647900278,UP
2007-02-12,3.01535701751709,3.0421431064605717,2.986785888671875,3.0314290523529053,2.559966325759888,724071600,-0.21252749695177542,DOWN
2007-02-13,3.041429042816162,3.046071052551269,3.010714054107666,3.025000095367432,2.554537773132324,580986000,0.7034079586941133,UP
2007-02-14,3.0225000381469727,3.0585711002349854,3.0203568935394287,3.046428918838501,2.572633981704712,507981600,-0.10563949933271033,DOWN
2007-02-15,3.051429033279419,3.057857036590576,3.0278570652008057,3.0432140827178955,2.569918632507324,363661200,-0.4479413474707705,DOWN
2007-02-16,3.044642925262451,3.0503571033477783,3.023571014404297,3.0296430587768555,2.558457612991333,399868000,1.2456241584920202,UP
2007-02-20,3.023214101791382,3.0771429538726807,3.005713939666748,3.067857027053833,2.590728998184204,617702400,3.6995467619648226,UP
2007-02-21,3.070713996887207,3.196070909500122,3.069999933242798,3.18571400642395,2.690256834030152,1155313600,0.3463453809031125,UP
2007-02-22,3.242856979370117,3.243213891983032,3.1617860794067383,3.196785926818848,2.6996066570281982,838224800,-0.49401234967167973,DOWN
2007-02-23,3.184286117553711,3.226428985595703,3.1732139587402344,3.1810710430145264,2.6863362789154053,517893600,-0.6326963403759489,DOWN
2007-02-26,3.208570957183838,3.214286088943481,3.128928899765014,3.1610710620880127,2.6694464683532715,615848800,-5.456918179514436,DOWN
2007-02-27,3.082143068313598,3.109999895095825,2.978929042816162,2.997499942779541,2.5313146114349365,1145813200,0.8036979431351177,UP
2007-02-28,2.964286088943481,3.057142972946167,2.964286088943481,3.0217859745025635,2.551823854446411,919475200,2.8141539054684084,UP
2007-03-01,3.001070976257324,3.1539289951324463,2.9910709857940674,3.109286069869995,2.625716209411621,1415528800,-1.9318710736373035,DOWN
2007-03-02,3.098928928375244,3.1264290809631348,3.0432140827178955,3.0503571033477783,2.575951099395752,860000400,1.0542101470800813,UP
2007-03-05,3.067500114440918,3.166070938110352,3.062856912612915,3.0828568935394287,2.603395462036133,838899600,2.120432441925235,UP
2007-03-06,3.135714054107666,3.1539289951324463,3.121428966522217,3.149642944335937,2.65979528427124,723186800,-0.5358003767839792,DOWN
